title,year,genre,plot
Let the Party Begin,2023,Drama,"""Let the party begin"" is the story of the country's greatest film producer whose film wins at the Cannes Film festival. However, after two years of struggling through the corona virus crisis, difficulties with investors wanting their money back, films not distributed and a difficult divorce settlement, Jonathan must sell his company with all its assets. Unaware of the situation his new wife decides to throw him a surprise party to celebrate his win at Cannes, inviting all the heads of the local film industry, colleagues and family. When Jonathan finds out about it he decides to wire the whole house with cameras. Who among us wouldn't want to be a fly on the wall at his own party, to listen in to his guests conversations and to really hear what people think about him before his collapse. Jonathan watches the party and all that goes on through the monitors while at the same time liaising with his lawyer to save his business. Will he succeed?"
Gaza,2023,"Crime, Thriller","Framed for the murder of her husband, Bobo is wrongly sentenced to seven years in prison. Upon release, Bobo is forced into a life of crime. She struggles to escape the clutches of the Gaza slum while her crime spree escalates to a deadly end for her friends and enemies alike."
Oppenheimer,2023,"Biography, Drama, History","The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb."
Den første julen i Skomakergata,2023,Family,"It's just before Christmas, and Stine (11) arrives Cobbler street all by herself. There she seek shelter at Shoemaker Andersens place, a grumpy old man who just wants to be left alone. Their meeting changes everything for the both of them."
Jasmine,2023,Drama,
Historias de Hotel,2023,Comedy,Two brothers receive an old hotel as an inheritance from their aunt and live all kinds of bizarre experiences while working in it.
Woods Witch,2023,"Comedy, Horror","When two up and coming internet bloggers take on a road trip to film footage from a forest that is known for disappearance and death, they find themselves in a fight against the supernatural for more than ratings. The events to follow considerably deteriorate, spiraling the adventure seekers head on into magic, mayhem, and murder."
Nigah Marda Ayi Ve,2023,"Drama, Romance",An adventurous road trip takes Harman and Scarlett on a journey not only through love and life but also leaves them heartbroken. Will the star-crossed lovers ever meet?
Ride On,2023,"Action, Comedy, Drama",A washed-up stuntman and his stunt horse become an overnight social media sensation when their real-life fight with debt collectors goes viral.
Talos: The Dark Lords of Xibalba,2023,Fantasy,
The 3rd Channel,2023,"Horror, Mystery, Sci-Fi, Thriller","Jessica Kelly, 24, is a recent mechanical engineering graduate working a dead end job until a mysteriously charming businessman shows up at her work telling her about a very odd inheritance. Conflicted when her own investigation leads her back to her family's history, her life is about to change forever."
Bravado,2023,Drama,"A comedy-drama about a middle-aged creative writing instructor struggling with the recent suicide of one of his students, a divorce, a strangely unfolding Eco-anxiety (Solastalgia) and his evolving relationship to the shifting attitudes of society."
The Blood Priestess,2023,Horror,Three friends travel to a secluded ashram in Mexico to help one of them overcome a recent trauma. What begins as an idyllic retreat quickly devolves into a series of bizarre meditations and rituals that seem to hide a sinister purpose.
White Blood,2023,Thriller,"Amidst her ongoing struggle with cancer, Betty and her partner Mark embark on a final journey with the intent of carrying out a suicide pact. Initially united by love, impending doom strains their bond, turning them against each other."
Stronghold,2023,Thriller,"In a post-apocalyptic world, a young woman living in the woods with her mother starts to question everything after the arrival of a stranger."
Spider-Man: Bad Reputation,2023,"Animation, Action, Sci-Fi","After Uncle Ben's death, Peter will have to face something worse, Chameleon's revenge."
True Love Inc,2023,Sci-Fi,A drama with sci-fi undertones set in modern-day Australia. A dating app manages your relationship for you. All you need to do is show up and follow the instructions
Storm,2023,"Drama, War",Follow the story of the people who were expelled from Krajina in 1995 and the suffering of the Serb people in Croatia.
Death Tale,2023,"Mystery, Thriller","Myra whose playboy husband Dhruv, gets murdered. Myra has to deal with the cop as she is a suspect."
Desapega!,2023,"Comedy, Romance",
Como Dios manda,2023,Comedy,"A strict, order-obsessed tax official has an unfortunate confrontation with a co-worker and is transferred to the Ministry of Equality."
Die drei ??? - Erbe des Drachen,2023,"Adventure, Family, Mystery","Follows a famous detective trio of boys in Transylvania who must unravel mysteries involving a long-missing boy, a mysterious brotherhood and a mysterious undead."
Tedor Anomaly,2023,Sci-Fi,"The crew of an intergalactic transporter, leading to the distant exoplanet Tedor, beyond Andromeda, carrying a mysterious cargo for a research station on an orbiting asteroid, discovers an ancient massive alien structure of unknown origins. The station seems abandoned. Determined to deliver the load and see what happened to the station's crew they soon realize to be trapped in a terrible nightmare."
¡Vaya vacaciones!,2023,Comedy,"It tells the story of Manuela and José. Even though they are delighted with taking care of their grandchildren, they are a bit fed up with no longer having time to dedicate to themselves."
Ovuda ce proci put,2023,Drama,An unexpected visit radically changes the life of a small isolated place in Serbia. Jana (18) will do everything to save the stranger that she thinks will take her far from there.
The Plough,2023,"Drama, Family","Three siblings, a father and a grandmother who run a travelling puppet show. When the father dies during a performance, the remaining family members try to keep his legacy alive."
Zomer in Frankrijk,2023,Comedy,Two friended couples go on holiday together in France when their relationships take a unexpected turn.
Zindagi Shatranj Hai,2023,Thriller,A men whose wife not ready to accept him has a husband despite of the fact that everyone else was telling that he is her husband.
Non ti fermare mai,2023,Biography,Gianfranco recognizes Life is filled with contradiction.But it's only on the brink... that people find the will to change. Now the child has grown up and exercised his political commitment as an postulate: he applied in public life the principles of his private religious practice.
Fists of Justice,2023,Drama,"Fists of Justice is a story about justice, but only in a sense. It's a story of justice masked by revenge."
Sobreviviendo Mis XV,2023,Comedy,Turning 15 is magical except when your family wants to put you in a ridiculous dress and make you dance the waltz in front of everyone. Danae will have to organize a traditional yet cool quinceañera that also pleases her grandmother.
Big Fun,2023,"Comedy, Thriller","While sneaking into a swanky Los Angeles home, a young woman and her boyfriend are coerced into hanging out with the strange homeowner."
Vicino al Verbo,2023,"Crime, Drama",
Baslangiç: Ye'cüc Me'cüc,2023,Horror,
The Obstacle,2023,"Action, Drama, Thriller","An executive's lust for money drives his wife into the arms of another man and causes his life to spiral into a cycle of drugs, sex, and violence. When given a second chance, will his traumatic past resurface to destroy lives?"
Los Domirriqueños 3,2023,"Comedy, Crime, Sport",
Return of the Dark,2023,"Action, Adventure, Drama, Fantasy",The wizards try to defeat enemies from another world.
Knock at the Cabin,2023,"Horror, Mystery, Thriller","While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse."
